"Disease","County","Year","Sex","Cases","Population","Rate","Lower 95% CI","Upper 95% CI","Annotation Code"
Gonorrhea,San Diego,2005,Total,2631,2970135,88.6,85.2,92.0,
Gonorrhea,San Diego,2006,Female,1163,1484896,78.3,73.9,83.0,
Gonorrhea,San Diego,2006,Male,1529,1497920,102.1,97.0,107.3,
Gonorrhea,San Diego,2006,Total,2767,2982816,92.8,89.3,96.3,
Gonorrhea,San Diego,2007,Female,954,1500220,63.6,59.6,67.8,
Gonorrhea,San Diego,2007,Male,1396,1513945,92.2,87.4,97.2,
Gonorrhea,San Diego,2007,Total,2359,3014165,78.3,75.1,81.5,
Gonorrhea,San Diego,2008,Female,774,1518655,51.0,47.4,54.7,
Gonorrhea,San Diego,2008,Male,1245,1532607,81.2,76.8,85.9,
Gonorrhea,San Diego,2008,Total,2026,3051262,66.4,63.5,69.4,
Gonorrhea,San Diego,2009,Female,633,1531512,41.3,38.2,44.7,
Gonorrhea,San Diego,2009,Male,1210,1546121,78.3,73.9,82.8,
Gonorrhea,San Diego,2009,Total,1847,3077633,60.0,57.3,62.8,
Gonorrhea,San Diego,2010,Female,541,1544475,35.0,32.1,38.1,
Gonorrhea,San Diego,2010,Male,1478,1556593,95.0,90.2,99.9,
Gonorrhea,San Diego,2010,Total,2023,3101068,65.2,62.4,68.1,
Gonorrhea,San Diego,2011,Female,605,1561842,38.7,35.7,41.9,
Gonorrhea,San Diego,2011,Male,1550,1574119,98.5,93.6,103.5,
Gonorrhea,San Diego,2011,Total,2168,3135961,69.1,66.3,72.1,
Gonorrhea,San Diego,2012,Female,840,1580275,53.2,49.6,56.9,
Gonorrhea,San Diego,2012,Male,1757,1593721,110.2,105.2,115.5,
Gonorrhea,San Diego,2012,Total,2603,3173996,82.0,78.9,85.2,
Gonorrhea,San Diego,2013,Female,837,1599862,52.3,48.8,56.0,
Gonorrhea,San Diego,2013,Male,2030,1612997,125.9,120.4,131.4,
Gonorrhea,San Diego,2013,Total,2870,3212859,89.3,86.1,92.7,
Gonorrhea,San Diego,2014,Female,1026,1616660,63.5,59.6,67.5,
Gonorrhea,San Diego,2014,Male,2349,1632613,143.9,138.1,149.8,
Gonorrhea,San Diego,2014,Total,3398,3249273,104.6,101.1,108.2,
Gonorrhea,San Diego,2015,Female,1006,1629486,61.7,58.0,65.7,
Gonorrhea,San Diego,2015,Male,2673,1646411,162.4,156.3,168.6,
Gonorrhea,San Diego,2015,Total,3685,3275897,112.5,108.9,116.2,
Gonorrhea,San Diego,2016,Female,1472,1640100,89.8,85.2,94.5,
Gonorrhea,San Diego,2016,Male,3506,1657102,211.6,204.6,218.7,
Gonorrhea,San Diego,2016,Total,4987,3297202,151.2,147.1,155.5,
Gonorrhea,San Diego,2017,Female,1576,1650959,95.5,90.8,100.3,
Gonorrhea,San Diego,2017,Male,4350,1669428,260.6,252.9,268.4,
Gonorrhea,San Diego,2017,Total,5940,3320387,178.9,174.4,183.5,
Gonorrhea,San Diego,2018,Female,2089,1662322,125.7,120.3,131.2,
Gonorrhea,San Diego,2018,Male,4104,1682108,244.0,236.6,251.6,
Gonorrhea,San Diego,2018,Total,6208,3344430,185.6,181.0,190.3,
Gonorrhea,San Francisco,2001,Female,358,384805,93.0,83.6,103.2,
Gonorrhea,San Francisco,2001,Male,1675,397418,421.5,401.6,442.1,
Gonorrhea,San Francisco,2001,Total,2040,782223,260.8,249.6,272.3,
Gonorrhea,San Francisco,2002,Female,374,385350,97.1,87.5,107.4,
Gonorrhea,San Francisco,2002,Male,1749,397905,439.6,419.2,460.6,
Gonorrhea,San Francisco,2002,Total,2136,783255,272.7,261.3,284.5,
Gonorrhea,San Francisco,2003,Female,246,384643,64.0,56.2,72.5,
Gonorrhea,San Francisco,2003,Male,1547,397227,389.5,370.3,409.3,
Gonorrhea,San Francisco,2003,Total,1809,781870,231.4,220.8,242.3,
Gonorrhea,San Francisco,2004,Female,230,384174,59.9,52.4,68.1,
Gonorrhea,San Francisco,2004,Male,1896,396525,478.2,456.9,500.1,
Gonorrhea,San Francisco,2004,Total,2142,780699,274.4,262.9,286.2,
Gonorrhea,San Francisco,2005,Female,356,383701,92.8,83.4,102.9,
Gonorrhea,San Francisco,2005,Male,2094,395954,528.8,506.5,551.9,
Gonorrhea,San Francisco,2005,Total,2463,779655,315.9,303.6,328.6,
Gonorrhea,San Francisco,2006,Female,338,385444,87.7,78.6,97.6,
Gonorrhea,San Francisco,2006,Male,2148,397484,540.4,517.8,563.7,
Gonorrhea,San Francisco,2006,Total,2501,782928,319.4,307.1,332.2,
Gonorrhea,San Francisco,2007,Female,271,389778,69.5,61.5,78.3,
Gonorrhea,San Francisco,2007,Male,1724,401556,429.3,409.3,450.0,
Gonorrhea,San Francisco,2007,Total,2014,791334,254.5,243.5,265.9,
Gonorrhea,San Francisco,2008,Female,290,393420,73.7,65.5,82.7,
Gonorrhea,San Francisco,2008,Male,1706,405253,421.0,401.3,441.4,
Gonorrhea,San Francisco,2008,Total,2004,798673,250.9,240.1,262.1,
Gonorrhea,San Francisco,2009,Female,217,394990,54.9,47.9,62.8,
Gonorrhea,San Francisco,2009,Male,1579,406809,388.1,369.3,407.7,
Gonorrhea,San Francisco,2009,Total,1809,801799,225.6,215.4,236.2,
Gonorrhea,San Francisco,2010,Female,273,399106,68.4,60.5,77.0,
Gonorrhea,San Francisco,2010,Male,1649,410622,401.6,382.5,421.4,
Gonorrhea,San Francisco,2010,Total,1937,809728,239.2,228.7,250.1,
Gonorrhea,San Francisco,2011,Female,217,404381,53.7,46.8,61.3,
Gonorrhea,San Francisco,2011,Male,2016,415934,484.7,463.8,506.3,
Gonorrhea,San Francisco,2011,Total,2251,820315,274.4,263.2,286.0,
Gonorrhea,San Francisco,2012,Female,214,410902,52.1,45.3,59.5,
Gonorrhea,San Francisco,2012,Male,2256,422306,534.2,512.4,556.7,
Gonorrhea,San Francisco,2012,Total,2480,833208,297.6,286.1,309.6,
Gonorrhea,San Francisco,2013,Female,196,416873,47.0,40.7,54.1,
Gonorrhea,San Francisco,2013,Male,2309,428318,539.1,517.4,561.5,
Gonorrhea,San Francisco,2013,Total,2525,845191,298.7,287.2,310.6,
Gonorrhea,San Francisco,2014,Female,376,421689,89.2,80.4,98.6,
Gonorrhea,San Francisco,2014,Male,2908,432904,671.7,647.6,696.5,
Gonorrhea,San Francisco,2014,Total,3293,854593,385.3,372.3,398.7,
Gonorrhea,San Francisco,2015,Female,405,426743,94.9,85.9,104.6,
Gonorrhea,San Francisco,2015,Male,4058,438199,926.1,897.9,954.9,
Gonorrhea,San Francisco,2015,Total,4485,864942,518.5,503.5,533.9,
Gonorrhea,San Francisco,2016,Female,511,430874,118.6,108.5,129.3,
Gonorrhea,San Francisco,2016,Male,4732,442002,1070.6,1040.5,1101.4,
Gonorrhea,San Francisco,2016,Total,5280,872876,604.9,588.7,621.4,
Gonorrhea,San Francisco,2017,Female,627,434960,144.2,133.1,155.9,
Gonorrhea,San Francisco,2017,Male,5122,445995,1148.4,1117.4,1180.1,
Gonorrhea,San Francisco,2017,Total,5779,880955,656.0,639.2,673.1,
Gonorrhea,San Francisco,2018,Female,586,438348,133.7,123.1,145.0,
Gonorrhea,San Francisco,2018,Male,5268,449192,1172.8,1141.5,1204.7,
Gonorrhea,San Francisco,2018,Total,5894,887540,664.1,647.3,681.2,
Gonorrhea,San Joaquin,2001,Female,302,295041,102.4,91.1,114.6,
Gonorrhea,San Joaquin,2001,Male,215,293540,73.2,63.8,83.7,
Gonorrhea,San Joaquin,2001,Total,517,588581,87.8,80.4,95.7,
Gonorrhea,San Joaquin,2002,Female,352,302553,116.3,104.5,129.1,
Gonorrhea,San Joaquin,2002,Male,283,300991,94.0,83.4,105.6,
Gonorrhea,San Joaquin,2002,Total,636,603544,105.4,97.4,113.9,
Gonorrhea,San Joaquin,2003,Female,352,311549,113.0,101.5,125.4,
Gonorrhea,San Joaquin,2003,Male,274,309559,88.5,78.3,99.6,
Gonorrhea,San Joaquin,2003,Total,627,621108,100.9,93.2,109.2,
Gonorrhea,San Joaquin,2004,Female,437,320359,136.4,123.9,149.8,
Gonorrhea,San Joaquin,2004,Male,393,318163,123.5,111.6,136.4,
Gonorrhea,San Joaquin,2004,Total,830,638522,130.0,121.3,139.1,
Gonorrhea,San Joaquin,2005,Female,383,326957,117.1,105.7,129.5,
Gonorrhea,San Joaquin,2005,Male,366,324668,112.7,101.5,124.9,
Gonorrhea,San Joaquin,2005,Total,749,651625,114.9,106.9,123.5,
Gonorrhea,San Joaquin,2006,Female,413,331622,124.5,112.8,137.1,
Gonorrhea,San Joaquin,2006,Male,377,329263,114.5,103.2,126.7,
Gonorrhea,San Joaquin,2006,Total,790,660885,119.5,111.4,128.2,
Gonorrhea,San Joaquin,2007,Female,551,336128,163.9,150.5,178.2,
Gonorrhea,San Joaquin,2007,Male,455,333609,136.4,124.1,149.5,
Gonorrhea,San Joaquin,2007,Total,1007,669737,150.4,141.2,159.9,
Gonorrhea,San Joaquin,2008,Female,354,338923,104.4,93.9,115.9,
Gonorrhea,San Joaquin,2008,Male,342,336325,101.7,91.2,113.1,
Gonorrhea,San Joaquin,2008,Total,697,675248,103.2,95.7,111.2,
Gonorrhea,San Joaquin,2009,Female,290,341446,84.9,75.4,95.3,
Gonorrhea,San Joaquin,2009,Male,271,338975,79.9,70.7,90.1,
Gonorrhea,San Joaquin,2009,Total,564,680421,82.9,76.2,90.0,
Gonorrhea,San Joaquin,2010,Female,371,345399,107.4,96.8,118.9,
Gonorrhea,San Joaquin,2010,Male,333,342591,97.2,87.0,108.2,
Gonorrhea,San Joaquin,2010,Total,709,687990,103.1,95.6,110.9,
Gonorrhea,San Joaquin,2011,Female,352,348695,100.9,90.7,112.1,
Gonorrhea,San Joaquin,2011,Male,270,345759,78.1,69.1,88.0,
Gonorrhea,San Joaquin,2011,Total,622,694454,89.6,82.7,96.9,
Gonorrhea,San Joaquin,2012,Female,379,351950,107.7,97.1,119.1,
Gonorrhea,San Joaquin,2012,Male,340,348755,97.5,87.4,108.4,
Gonorrhea,San Joaquin,2012,Total,721,700705,102.9,95.5,110.7,
Gonorrhea,San Joaquin,2013,Female,457,354853,128.8,117.3,141.1,
Gonorrhea,San Joaquin,2013,Male,489,352324,138.8,126.8,151.6,
Gonorrhea,San Joaquin,2013,Total,946,707177,133.8,125.4,142.6,
Gonorrhea,San Joaquin,2014,Female,482,359953,133.9,122.2,146.4,
Gonorrhea,San Joaquin,2014,Male,501,357893,140.0,128.0,152.8,
Gonorrhea,San Joaquin,2014,Total,984,717846,137.1,128.7,145.9,
Gonorrhea,San Joaquin,2015,Female,583,365111,159.7,147.0,173.2,
Gonorrhea,San Joaquin,2015,Male,662,363361,182.2,168.6,196.6,
Gonorrhea,San Joaquin,2015,Total,1249,728472,171.5,162.1,181.2,
Gonorrhea,San Joaquin,2016,Female,535,369995,144.6,132.6,157.4,
Gonorrhea,San Joaquin,2016,Male,602,368766,163.2,150.5,176.8,
Gonorrhea,San Joaquin,2016,Total,1139,738761,154.2,145.4,163.4,
Gonorrhea,San Joaquin,2017,Female,614,375315,163.6,150.9,177.1,
Gonorrhea,San Joaquin,2017,Male,752,374495,200.8,186.7,215.7,
Gonorrhea,San Joaquin,2017,Total,1366,749810,182.2,172.7,192.1,
Gonorrhea,San Joaquin,2018,Female,665,379888,175.1,162.0,188.9,
Gonorrhea,San Joaquin,2018,Male,741,379298,195.4,181.6,209.9,
Gonorrhea,San Joaquin,2018,Total,1409,759186,185.6,176.0,195.5,
Gonorrhea,San Luis Obispo,2001,Female,11,122459,9.0,4.5,16.1,*
Gonorrhea,San Luis Obispo,2001,Male,10,129193,7.7,3.7,14.2,*
Gonorrhea,San Luis Obispo,2001,Total,21,251652,8.3,5.2,12.8,
Gonorrhea,San Luis Obispo,2002,Female,16,123484,13.0,7.4,21.0,
Gonorrhea,San Luis Obispo,2002,Male,18,130065,13.8,8.2,21.9,
Gonorrhea,San Luis Obispo,2002,Total,34,253549,13.4,9.3,18.7,
Gonorrhea,San Luis Obispo,2003,Female,35,124474,28.1,19.6,39.1,
Gonorrhea,San Luis Obispo,2003,Male,22,131135,16.8,10.5,25.4,
Gonorrhea,San Luis Obispo,2003,Total,57,255609,22.3,16.9,28.9,
Gonorrhea,San Luis Obispo,2004,Female,24,125898,19.1,12.2,28.4,
Gonorrhea,San Luis Obispo,2004,Male,10,132585,7.5,3.6,13.9,*
Gonorrhea,San Luis Obispo,2004,Total,34,258483,13.2,9.1,18.4,
Gonorrhea,San Luis Obispo,2005,Female,24,126728,18.9,12.1,28.2,
Gonorrhea,San Luis Obispo,2005,Male,22,133215,16.5,10.4,25.0,
Gonorrhea,San Luis Obispo,2005,Total,46,259943,17.7,13.0,23.6,
Gonorrhea,San Luis Obispo,2006,Female,19,127659,14.9,9.0,23.2,
Gonorrhea,San Luis Obispo,2006,Male,23,134144,17.1,10.9,25.7,
Gonorrhea,San Luis Obispo,2006,Total,42,261803,16.0,11.6,21.7,
Gonorrhea,San Luis Obispo,2007,Female,26,128800,20.2,13.2,29.6,
Gonorrhea,San Luis Obispo,2007,Male,22,135362,16.3,10.2,24.6,
Gonorrhea,San Luis Obispo,2007,Total,48,264162,18.2,13.4,24.1,
Gonorrhea,San Luis Obispo,2008,Female,15,130093,11.5,6.5,19.0,
Gonorrhea,San Luis Obispo,2008,Male,20,136757,14.6,8.9,22.6,
Gonorrhea,San Luis Obispo,2008,Total,35,266850,13.1,9.1,18.2,
Gonorrhea,San Luis Obispo,2009,Female,20,130832,15.3,9.3,23.6,
Gonorrhea,San Luis Obispo,2009,Male,17,137392,12.4,7.2,19.8,
Gonorrhea,San Luis Obispo,2009,Total,37,268224,13.8,9.7,19.0,
Gonorrhea,San Luis Obispo,2010,Female,11,131319,8.4,4.2,15.0,*
Gonorrhea,San Luis Obispo,2010,Male,20,137725,14.5,8.9,22.4,
Gonorrhea,San Luis Obispo,2010,Total,31,269044,11.5,7.8,16.4,
Gonorrhea,San Luis Obispo,2011,Female,19,131888,14.4,8.7,22.5,
Gonorrhea,San Luis Obispo,2011,Male,31,138513,22.4,15.2,31.8,
Gonorrhea,San Luis Obispo,2011,Total,50,270401,18.5,13.7,24.4,
Gonorrhea,San Luis Obispo,2012,Female,36,133164,27.0,18.9,37.4,
Gonorrhea,San Luis Obispo,2012,Male,48,139479,34.4,25.4,45.6,
Gonorrhea,San Luis Obispo,2012,Total,84,272643,30.8,24.6,38.1,
Gonorrhea,San Luis Obispo,2013,Female,26,134008,19.4,12.7,28.4,
Gonorrhea,San Luis Obispo,2013,Male,36,139984,25.7,18.0,35.6,
Gonorrhea,San Luis Obispo,2013,Total,62,273992,22.6,17.3,29.0,
Gonorrhea,San Luis Obispo,2014,Female,42,135100,31.1,22.4,42.0,
Gonorrhea,San Luis Obispo,2014,Male,108,141177,76.5,62.8,92.4,
Gonorrhea,San Luis Obispo,2014,Total,150,276277,54.3,46.0,63.7,
Gonorrhea,San Luis Obispo,2015,Female,65,135507,48.0,37.0,61.1,
Gonorrhea,San Luis Obispo,2015,Male,103,141352,72.9,59.5,88.4,
Gonorrhea,San Luis Obispo,2015,Total,168,276859,60.7,51.9,70.6,
Gonorrhea,San Luis Obispo,2016,Female,105,136054,77.2,63.1,93.4,
Gonorrhea,San Luis Obispo,2016,Male,126,142310,88.5,73.8,105.4,
Gonorrhea,San Luis Obispo,2016,Total,231,278364,83.0,72.6,94.4,
Gonorrhea,San Luis Obispo,2017,Female,70,136199,51.4,40.1,64.9,
Gonorrhea,San Luis Obispo,2017,Male,112,142481,78.6,64.7,94.6,
Gonorrhea,San Luis Obispo,2017,Total,182,278680,65.3,56.2,75.5,
Gonorrhea,San Luis Obispo,2018,Female,74,136515,54.2,42.6,68.0,
Gonorrhea,San Luis Obispo,2018,Male,114,142855,79.8,65.8,95.9,
Gonorrhea,San Luis Obispo,2018,Total,188,279370,67.3,58.0,77.6,
Gonorrhea,San Mateo,2001,Female,87,359709,24.2,19.4,29.8,
Gonorrhea,San Mateo,2001,Male,127,347751,36.5,30.4,43.5,
Gonorrhea,San Mateo,2001,Total,214,707460,30.2,26.3,34.6,
Gonorrhea,San Mateo,2002,Female,52,358384,14.5,10.8,19.0,
Gonorrhea,San Mateo,2002,Male,128,346513,36.9,30.8,43.9,
Gonorrhea,San Mateo,2002,Total,181,704897,25.7,22.1,29.7,
Gonorrhea,San Mateo,2003,Female,81,357397,22.7,18.0,28.2,
Gonorrhea,San Mateo,2003,Male,139,345665,40.2,33.8,47.5,
Gonorrhea,San Mateo,2003,Total,220,703062,31.3,27.3,35.7,
Gonorrhea,San Mateo,2004,Female,75,356547,21.0,16.5,26.4,
Gonorrhea,San Mateo,2004,Male,174,344854,50.5,43.2,58.5,
Gonorrhea,San Mateo,2004,Total,250,701401,35.6,31.4,40.3,
Gonorrhea,San Mateo,2005,Female,81,355457,22.8,18.1,28.3,
Gonorrhea,San Mateo,2005,Male,162,343820,47.1,40.1,55.0,
Gonorrhea,San Mateo,2005,Total,243,699277,34.8,30.5,39.4,
Gonorrhea,San Mateo,2006,Female,125,355530,35.2,29.3,41.9,
Gonorrhea,San Mateo,2006,Male,185,343868,53.8,46.3,62.1,
Gonorrhea,San Mateo,2006,Total,311,699398,44.5,39.7,49.7,
Gonorrhea,San Mateo,2007,Female,92,357982,25.7,20.7,31.5,
Gonorrhea,San Mateo,2007,Male,171,346290,49.4,42.3,57.4,
Gonorrhea,San Mateo,2007,Total,263,704272,37.3,33.0,42.1,
Gonorrhea,San Mateo,2008,Female,86,361593,23.8,19.0,29.4,
Gonorrhea,San Mateo,2008,Male,162,349781,46.3,39.5,54.0,
Gonorrhea,San Mateo,2008,Total,248,711374,34.9,30.7,39.5,
Gonorrhea,San Mateo,2009,Female,58,363936,15.9,12.1,20.6,
Gonorrhea,San Mateo,2009,Male,149,352328,42.3,35.8,49.7,
Gonorrhea,San Mateo,2009,Total,207,716264,28.9,25.1,33.1,
Gonorrhea,San Mateo,2010,Female,57,366389,15.6,11.8,20.2,
Gonorrhea,San Mateo,2010,Male,153,354271,43.2,36.6,50.6,
Gonorrhea,San Mateo,2010,Total,211,720660,29.3,25.5,33.5,
Gonorrhea,San Mateo,2011,Female,71,370752,19.2,15.0,24.2,
Gonorrhea,San Mateo,2011,Male,164,358733,45.7,39.0,53.3,
Gonorrhea,San Mateo,2011,Total,235,729485,32.2,28.2,36.6,
Gonorrhea,San Mateo,2012,Female,64,376326,17.0,13.1,21.7,
Gonorrhea,San Mateo,2012,Male,198,364576,54.3,47.0,62.4,
Gonorrhea,San Mateo,2012,Total,262,740902,35.4,31.2,39.9,
Gonorrhea,San Mateo,2013,Female,86,380863,22.6,18.1,27.9,
Gonorrhea,San Mateo,2013,Male,243,369252,65.8,57.8,74.6,
Gonorrhea,San Mateo,2013,Total,329,750115,43.9,39.2,48.9,
Gonorrhea,San Mateo,2014,Female,92,384244,23.9,19.3,29.4,
Gonorrhea,San Mateo,2014,Male,264,372817,70.8,62.5,79.9,
Gonorrhea,San Mateo,2014,Total,356,757061,47.0,42.3,52.2,
Gonorrhea,San Mateo,2015,Female,128,387979,33.0,27.5,39.2,
Gonorrhea,San Mateo,2015,Male,411,376871,109.1,98.8,120.1,
Gonorrhea,San Mateo,2015,Total,539,764850,70.5,64.6,76.7,
Gonorrhea,San Mateo,2016,Female,137,389713,35.2,29.5,41.6,
Gonorrhea,San Mateo,2016,Male,479,378860,126.4,115.4,138.3,
Gonorrhea,San Mateo,2016,Total,617,768573,80.3,74.1,86.9,
Gonorrhea,San Mateo,2017,Female,195,391068,49.9,43.1,57.4,
Gonorrhea,San Mateo,2017,Male,621,380834,163.1,150.5,176.4,
Gonorrhea,San Mateo,2017,Total,816,771902,105.7,98.6,113.2,
Gonorrhea,San Mateo,2018,Female,146,391861,37.3,31.5,43.8,
Gonorrhea,San Mateo,2018,Male,583,382298,152.5,140.4,165.4,
Gonorrhea,San Mateo,2018,Total,729,774159,94.2,87.5,101.3,
Gonorrhea,Santa Barbara,2001,Female,33,201546,16.4,11.3,23.0,
Gonorrhea,Santa Barbara,2001,Male,56,201896,27.7,21.0,36.0,
Gonorrhea,Santa Barbara,2001,Total,89,403442,22.1,17.7,27.1,
Gonorrhea,Santa Barbara,2002,Female,31,202843,15.3,10.4,21.7,
Gonorrhea,Santa Barbara,2002,Male,42,203289,20.7,14.9,27.9,
Gonorrhea,Santa Barbara,2002,Total,73,406132,18.0,14.1,22.6,
Gonorrhea,Santa Barbara,2003,Female,38,204367,18.6,13.2,25.5,
Gonorrhea,Santa Barbara,2003,Male,40,205145,19.5,13.9,26.6,
Gonorrhea,Santa Barbara,2003,Total,78,409512,19.0,15.1,23.8,
Gonorrhea,Santa Barbara,2004,Female,26,205110,12.7,8.3,18.6,
Gonorrhea,Santa Barbara,2004,Male,45,206080,21.8,15.9,29.2,
Gonorrhea,Santa Barbara,2004,Total,71,411190,17.3,13.5,21.8,
Gonorrhea,Santa Barbara,2005,Female,53,205279,25.8,19.3,33.8,
Gonorrhea,Santa Barbara,2005,Male,64,206404,31.0,23.9,39.6,
Gonorrhea,Santa Barbara,2005,Total,117,411683,28.4,23.5,34.1,
Gonorrhea,Santa Barbara,2006,Female,40,205752,19.4,13.9,26.5,
Gonorrhea,Santa Barbara,2006,Male,45,207101,21.7,15.8,29.1,
Gonorrhea,Santa Barbara,2006,Total,85,412853,20.6,16.4,25.5,
Gonorrhea,Santa Barbara,2007,Female,34,207530,16.4,11.3,22.9,
Gonorrhea,Santa Barbara,2007,Male,45,209118,21.5,15.7,28.8,
Gonorrhea,Santa Barbara,2007,Total,79,416648,19.0,15.0,23.6,
Gonorrhea,Santa Barbara,2008,Female,38,209105,18.2,12.9,24.9,
Gonorrhea,Santa Barbara,2008,Male,52,210865,24.7,18.4,32.3,
Gonorrhea,Santa Barbara,2008,Total,90,419970,21.4,17.2,26.3,
Gonorrhea,Santa Barbara,2009,Female,20,210296,9.5,5.8,14.7,
Gonorrhea,Santa Barbara,2009,Male,41,212127,19.3,13.9,26.2,
Gonorrhea,Santa Barbara,2009,Total,61,422423,14.4,11.0,18.5,
Gonorrhea,Santa Barbara,2010,Female,22,210959,10.4,6.5,15.8,
Gonorrhea,Santa Barbara,2010,Male,44,212601,20.7,15.0,27.8,
Gonorrhea,Santa Barbara,2010,Total,66,423560,15.6,12.1,19.8,
Gonorrhea,Santa Barbara,2011,Female,54,211691,25.5,19.2,33.3,
Gonorrhea,Santa Barbara,2011,Male,50,213640,23.4,17.4,30.9,
Gonorrhea,Santa Barbara,2011,Total,104,425331,24.5,20.0,29.6,
Gonorrhea,Santa Barbara,2012,Female,84,213913,39.3,31.3,48.6,
Gonorrhea,Santa Barbara,2012,Male,86,216356,39.7,31.8,49.1,
Gonorrhea,Santa Barbara,2012,Total,170,430269,39.5,33.8,45.9,
Gonorrhea,Santa Barbara,2013,Female,63,216410,29.1,22.4,37.2,
Gonorrhea,Santa Barbara,2013,Male,58,219434,26.4,20.1,34.2,
Gonorrhea,Santa Barbara,2013,Total,121,435844,27.8,23.0,33.2,
Gonorrhea,Santa Barbara,2014,Female,89,218381,40.8,32.7,50.2,
Gonorrhea,Santa Barbara,2014,Male,114,221803,51.4,42.4,61.7,
Gonorrhea,Santa Barbara,2014,Total,203,440184,46.1,40.0,52.9,
Gonorrhea,Santa Barbara,2015,Female,130,220439,59.0,49.3,70.0,
Gonorrhea,Santa Barbara,2015,Male,206,224094,91.9,79.8,105.4,
Gonorrhea,Santa Barbara,2015,Total,336,444533,75.6,67.7,84.1,
Gonorrhea,Santa Barbara,2016,Female,153,221905,68.9,58.5,80.8,
Gonorrhea,Santa Barbara,2016,Male,170,225481,75.4,64.5,87.6,
Gonorrhea,Santa Barbara,2016,Total,323,447386,72.2,64.5,80.5,
Gonorrhea,Santa Barbara,2017,Female,156,223181,69.9,59.4,81.8,
Gonorrhea,Santa Barbara,2017,Male,221,226957,97.4,85.0,111.1,
Gonorrhea,Santa Barbara,2017,Total,378,450138,84.0,75.7,92.9,
Gonorrhea,Santa Barbara,2018,Female,196,224571,87.3,75.5,100.4,
Gonorrhea,Santa Barbara,2018,Male,305,228717,133.4,118.8,149.2,
Gonorrhea,Santa Barbara,2018,Total,501,453288,110.5,101.1,120.6,
Gonorrhea,Santa Clara,2001,Female,195,836732,23.3,20.1,26.8,
Gonorrhea,Santa Clara,2001,Male,350,856439,40.9,36.7,45.4,
Gonorrhea,Santa Clara,2001,Total,545,1693171,32.2,29.5,35.0,
Gonorrhea,Santa Clara,2002,Female,190,837293,22.7,19.6,26.2,
Gonorrhea,Santa Clara,2002,Male,299,855869,34.9,31.1,39.1,
Gonorrhea,Santa Clara,2002,Total,499,1693162,29.5,26.9,32.2,
Gonorrhea,Santa Clara,2003,Female,316,838473,37.7,33.6,42.1,
Gonorrhea,Santa Clara,2003,Male,406,855738,47.4,42.9,52.3,
Gonorrhea,Santa Clara,2003,Total,726,1694211,42.9,39.8,46.1,
Gonorrhea,Santa Clara,2004,Female,448,840509,53.3,48.5,58.5,
Gonorrhea,Santa Clara,2004,Male,592,856410,69.1,63.7,74.9,
Gonorrhea,Santa Clara,2004,Total,1040,1696919,61.3,57.6,65.1,
Gonorrhea,Santa Clara,2005,Female,430,842466,51.0,46.3,56.1,
Gonorrhea,Santa Clara,2005,Male,568,857055,66.3,60.9,72.0,
Gonorrhea,Santa Clara,2005,Total,999,1699521,58.8,55.2,62.5,
Gonorrhea,Santa Clara,2006,Female,478,850345,56.2,51.3,61.5,
Gonorrhea,Santa Clara,2006,Male,561,863494,65.0,59.7,70.6,
Gonorrhea,Santa Clara,2006,Total,1046,1713839,61.0,57.4,64.8,
Gonorrhea,Santa Clara,2007,Female,374,862263,43.4,39.1,48.0,
Gonorrhea,Santa Clara,2007,Male,497,874064,56.9,52.0,62.1,
Gonorrhea,Santa Clara,2007,Total,873,1736327,50.3,47.0,53.7,
Gonorrhea,Santa Clara,2008,Female,302,874428,34.5,30.8,38.7,
Gonorrhea,Santa Clara,2008,Male,396,885106,44.7,40.4,49.4,
Gonorrhea,Santa Clara,2008,Total,700,1759534,39.8,36.9,42.8,
Gonorrhea,Santa Clara,2009,Female,246,882602,27.9,24.5,31.6,
Gonorrhea,Santa Clara,2009,Male,311,892288,34.9,31.1,39.0,
Gonorrhea,Santa Clara,2009,Total,558,1774890,31.4,28.9,34.2,
Gonorrhea,Santa Clara,2010,Female,250,891636,28.0,24.7,31.7,
Gonorrhea,Santa Clara,2010,Male,344,898505,38.3,34.3,42.6,
Gonorrhea,Santa Clara,2010,Total,598,1790141,33.4,30.8,36.2,
Gonorrhea,Santa Clara,2011,Female,225,902567,24.9,21.8,28.4,
Gonorrhea,Santa Clara,2011,Male,403,911583,44.2,40.0,48.7,
Gonorrhea,Santa Clara,2011,Total,634,1814150,34.9,32.3,37.8,
Gonorrhea,Santa Clara,2012,Female,362,914946,39.6,35.6,43.9,
Gonorrhea,Santa Clara,2012,Male,616,925675,66.5,61.4,72.0,
Gonorrhea,Santa Clara,2012,Total,1000,1840621,54.3,51.0,57.8,
Gonorrhea,Santa Clara,2013,Female,424,928390,45.7,41.4,50.2,
Gonorrhea,Santa Clara,2013,Male,700,940744,74.4,69.0,80.1,
Gonorrhea,Santa Clara,2013,Total,1124,1869134,60.1,56.7,63.8,
Gonorrhea,Santa Clara,2014,Female,539,939625,57.4,52.6,62.4,
Gonorrhea,Santa Clara,2014,Male,969,953954,101.6,95.3,108.2,
Gonorrhea,Santa Clara,2014,Total,1508,1893579,79.6,75.7,83.8,
Gonorrhea,Santa Clara,2015,Female,612,952364,64.3,59.3,69.6,
Gonorrhea,Santa Clara,2015,Male,1168,967481,120.7,113.9,127.8,
